ml_schema_version,row_id,date,entry_time,exit_time,weekday,hour,minute,is_expiry_day,mode,trade_id,symbol,signal,trade_type,qty,entry_price,exit_price,premium_return_percent,gross_pnl,charges,buy_charges,sell_charges,buy_turnover,sell_turnover,net_pnl,net_pnl_per_qty,net_return_on_buy_turnover_percent,duration_seconds,exit_reason,exit_reason_class,trade_quality,entry_type,market_regime,premium_extension_percent,fake_breakout_probability,score,confidence,label_win,label_loss,label_big_loss,label_big_win
1.0,fa6acb82487bfe75bcdf7442acc58e6a2f90ea28,2026-05-15,09:39:19,10:00:43,4,9,39,0,PAPER,OK20260515093919,NIFTY19MAY2623800CE,CE,HALF,260,159.05,174.2,9.525306507387599,3938.999999999994,152.79695646500002,42.221958901,110.57499756400001,41353.0,45292.0,3786.203043534994,14.562319398211514,9.155812259171023,1284,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,1,0,0,1
1.0,d2f9a1a91e4524eeb6aa3eb3f4d31067ae0daefa,2026-05-15,10:43:23,10:46:15,4,10,43,0,PAPER,OK20260515104323,NIFTY19MAY2623850CE,CE,FULL,455,150.15,157.0,4.562104562104558,3116.7499999999973,215.14271428025,54.36486938525,160.777844895,68318.25,71435.0,2901.6072857197473,6.37715886971373,4.247192054421399,172,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,1,0,0,0
1.0,1e7438b23b07c3b85e5a8a7a5a49244f1418943a,2026-05-15,12:45:45,12:49:28,4,12,45,0,PAPER,OK20260515124545,NIFTY19MAY2623800CE,CE,HALF,325,143.4,148.5,3.556485355648532,1657.4999999999982,160.8663229975,44.587023785,116.27929921249999,46605.0,48262.5,1496.6336770024982,4.605026698469225,3.2113156893090835,223,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,1,0,0,0
1.0,0334a79f34bd64c51008d32b34a327d4b2edda3d,2026-05-15,13:38:25,13:40:49,4,13,38,0,PAPER,OK20260515133825,NIFTY19MAY2623750PE,PE,HALF,325,160.2,167.3,4.431960049937592,2307.5000000000073,175.05819068750003,47.045754605,128.01243608250002,52064.99999999999,54372.50000000001,2132.4418093125073,6.561359413269253,4.095729970829747,144,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,1,0,0,0
1.0,f866431b583ab54feb008b06cbbf948da177bb7f,2026-05-18,10:16:39,10:18:15,0,10,16,0,PAPER,OK20260518101639,NIFTY19MAY2623400CE,CE,HALF,455,114.25,119.9,4.94529540481401,2570.7500000000027,175.37110012525,47.00916634875,128.3619337765,51983.75,54554.5,2395.3788998747527,5.264569010713743,4.607937864957324,96,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,1,0,0,0
1.0,75eea98d2cdb51d6724e707a28ec8b448d05ee03,2026-05-19,11:43:26,11:43:59,1,11,43,0,PAPER,OK20260519114326,NIFTY19MAY2623750CE,CE,HALF,1625,44.5,45.6,2.4719101123595535,1787.5000000000023,222.05903776250003,56.16354806250001,165.8954897,72312.5,74100.0,1565.4409622375022,0.9633482844538475,2.1648276055142643,33,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,1,0,0,0
1.0,45bdf73b4ba3bd5da0a33a24d4ffd06898a913b4,2026-05-19,11:48:19,11:48:51,1,11,48,0,PAPER,OK20260519114819,NIFTY19MAY2623700CE,CE,FULL,910,79.5,77.55,-2.4528301886792487,-1774.5000000000025,215.29591421349997,56.178183364999995,159.11773084849997,72345.0,70570.5,-1989.7959142135026,-2.1865889167181347,-2.7504263103372764,32,DAILY LOSS LIMIT,OTHER,UNSET,,,0.0,0.0,0.0,0.0,0,1,0,0
1.0,6ecc17682c320f95d4b56cff2811e4460523aafa,2026-05-19,12:17:49,12:18:32,1,12,17,0,PAPER,OK20260519121749,NIFTY19MAY2623750PE,PE,HALF,1430,50.4,50.35,-0.09920634920634357,-71.49999999999594,217.91903098249998,56.055246824,161.86378415849998,72072.0,72000.5,-289.4190309824959,-0.20239093075699013,-0.4015693070575201,43,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,0,1,0,0
1.0,795f7013016f4ede23dfde37592bf476d88c68bf,2026-05-19,12:25:07,12:25:51,1,12,25,0,PAPER,OK20260519122507,NIFTY19MAY2623750PE,PE,HALF,1430,51.15,52.75,3.1280547409579693,2288.000000000002,224.992523909,56.5382118065,168.4543121025,73144.5,75432.5,2063.007476091002,1.4426625706930083,2.8204546836617954,44,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,1,0,0,0
1.0,bd8201a6659d7df0d404d70439dd1dbb7b3a2e80,2026-05-19,12:33:30,12:37:07,1,12,33,0,PAPER,OK20260519123330,NIFTY19MAY2623750PE,PE,HALF,1495,49.6,49.05,-1.108870967741944,-822.2500000000064,221.40827171475001,56.991906184,164.41636553075,74152.0,73329.75,-1043.6582717147564,-0.6980991784045194,-1.4074580209768535,217,SL HIT,STOP_LOSS,UNSET,,,0.0,0.0,0.0,0.0,0,1,0,0
