timestamp,event,trade_id,mode,trade_type,signal,symbol,entry,exit,ltp,qty,pnl,gross_pnl,charges,net_pnl,reason,capital,daily_pnl
2026-05-07T10:12:56,ENTRY,OK20260507101255,PAPER,FULL,PE,NIFTY12MAY2624300PE,168.65,,168.65,65,,,,,PAPER ENTRY,20000.0,0
2026-05-07T10:26:03,EXIT,OK20260507101255,PAPER,FULL,PE,NIFTY12MAY2624300PE,168.65,143.55,143.55,65,-1701.5499999999995,-1631.4999999999995,70.05,-1701.5499999999995,REVERSAL EXIT: PE confirmed Supertrend flip + ORB fail + EMA21 loss,18298.45,-1701.5499999999995
2026-05-07T11:20:36,ENTRY,OK20260507112035,PAPER,FULL,PE,NIFTY12MAY2624300PE,172.35,,172.35,65,,,,,PAPER ENTRY,18298.45,-1701.5499999999995
2026-05-07T11:31:57,EXIT,OK20260507112035,PAPER,FULL,PE,NIFTY12MAY2624300PE,172.35,159.9,159.9,65,-881.4499999999994,-809.2499999999993,72.2,-881.4499999999994,REVERSAL EXIT: PE confirmed Supertrend flip + ORB fail + EMA21 loss,17417.0,-2582.999999999999
2026-05-07T12:38:35,ENTRY,OK20260507123833,PAPER,HALF,CE,NIFTY12MAY2624450CE,178.15,,178.15,65,,,,,PAPER ENTRY,17417.0,-2582.999999999999
2026-05-07T12:47:20,EXIT,OK20260507123833,PAPER,HALF,CE,NIFTY12MAY2624450CE,178.15,185.7,185.7,65,415.15999999999883,490.74999999999886,75.59,415.15999999999883,SL HIT,17832.16,-2167.84
2026-05-07T12:56:19,ENTRY,OK20260507125618,PAPER,HALF,PE,NIFTY12MAY2624350PE,158.95,,158.95,65,,,,,PAPER ENTRY,17832.16,-2167.84
2026-05-07T13:21:12,EXIT,OK20260507125618,PAPER,HALF,PE,NIFTY12MAY2624350PE,158.95,164.6,164.6,65,294.85000000000036,367.25000000000034,72.4,294.85000000000036,SL HIT,18127.010000000002,-1872.9899999999998
2026-05-07T13:45:18,ENTRY,OK20260507134517,PAPER,HALF,PE,NIFTY12MAY2624300PE,150.95,,150.95,65,,,,,PAPER ENTRY,18127.010000000002,-1872.9899999999998
2026-05-07T14:01:57,EXIT,OK20260507134517,PAPER,HALF,PE,NIFTY12MAY2624300PE,150.95,137.3,137.3,65,-956.0099999999985,-887.2499999999985,68.76,-956.0099999999985,REVERSAL EXIT: PE confirmed Supertrend flip + ORB fail + EMA21 loss,17171.000000000004,-2828.999999999998
2026-05-07T14:26:06,ENTRY,OK20260507142605,PAPER,HALF,CE,NIFTY12MAY2624400CE,173.35,,173.35,65,,,,,PAPER ENTRY,17171.000000000004,-2828.999999999998
2026-05-07T14:44:25,EXIT,OK20260507142605,PAPER,HALF,CE,NIFTY12MAY2624400CE,173.35,155.7,155.7,65,-1218.9600000000005,-1147.2500000000005,71.71,-1218.9600000000005,DAILY LOSS LIMIT,15952.040000000003,-4047.9599999999987
